"firstname","lastname","email","phone","status","provider","birth_date"
Mari,Sojo,msojo@nestjs.com,(099) 829-1353,Referral QC Needed,Facebook,2010-01-13 14:46:59.043
Doraine,Jennings,djennings@nestjs.com,(272) 234-8165,Unqualified,Facebook,2009-02-22 13:46:48.134
Rachel,Miller,rmiller@nestjs.com,(830) 494-8678,Referral QC Needed,Fizber,1890-04-29 09:34:21.102
Colton,Wood,cwood@nestjs.com,(308) 818-6994,Referral QC Needed,Fizber,2016-10-03 06:27:33.722
Chuck,Ross,cross@nestjs.com,(037) 928-8577,Referral QC Needed,Fizber,1932-05-13 05:02:40.122
Anas,Al-Zarzour,aal-zarzour@nestjs.com,(026) 106-2933,Referral QC Needed,Cmg,1972-01-03 20:51:54.240
Jim,Hay,jhay@nestjs.com,(899) 007-0279,Referral QC Needed,Fizber,1960-09-16 06:39:56.122
Stephanie,Burner,sburner@nestjs.com,(503) 587-3500,Referral QC Needed,Fizber,1994-10-23 06:37:03.681
Mack,Bozarth,mbozarth@nestjs.com,(278) 423-4693,Referral QC Needed,,2021-04-16 03:55:10.432
Sandra,Obrian,sobrian@nestjs.com,(707) 529-8033,Referral QC Needed,Fizber,1973-10-13 09:03:12.083
John,Portwood,jportwood@nestjs.com,(668) 641-5435,Referral QC Needed,Fizber,2002-04-17 10:20:15.301
Jaime,Hernandez,jhernandez@nestjs.com,(192) 372-0297,Referral QC Needed,Facebook,1989-04-05 08:58:00.813
joseph,monahan,jmonahan@nestjs.com,(628) 030-0684,DQL,Facebook,1912-12-07 04:26:33.353
Tina,Trickey,ttrickey@nestjs.com,(963) 947-8221,DQL,Facebook,2010-04-23 02:38:32.292
Juana,Martinez,jmartinez@nestjs.com,(273) 463-1601,Referral QC Needed,Facebook,2012-12-22 07:43:20.091
Eula,Auxier,eauxier@nestjs.com,(052) 987-5634,DQL,Facebook,2001-01-14 02:25:51.326
Sue,Ramey,sramey@nestjs.com,(127) 746-7196,DQL,Facebook,1951-02-20 18:08:35.878
jim,lushok,jlushok@nestjs.com,(920) 375-8291,DQL,Facebook,1966-01-10 03:28:59.607
Ann Marie,Watkins,awatkins@nestjs.com,(566) 675-2295,Referral QC Needed,Facebook,1970-06-18 19:09:51.944
Chris,Hall,chall@nestjs.com,(595) 938-1552,DQL,Facebook,1919-11-11 21:33:11.695
